# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-157.93171432107226,0.0,-6.8982932383476685,-0.14496339390749466,0.0,0.0
 0.04001632781971202,0.004003266230436646,0.10004081954928006,2.5000000000000004,-157.93171432107226,0.0,-6.8982932383476685,-0.14496339390749466,0.0,0.0
 0.05717513843799027,0.008172491138508382,0.24297866564425577,8.33028869394436,-159.5468281807213,0.0,-6.060295555933418,-0.1650084539228348,-94.12737838184151,-5485.658678555101
 0.07073791591778256,0.012509631870978189,0.3197826358894321,5.6628496898669605,-161.02369905380135,0.0,-5.341345005486596,-0.1872187621231743,-108.89147707986017,-1088.5748675016052
 0.08250146575609622,0.017016229629760796,0.38309845418469696,5.382373447260484,-162.37698404599573,0.0,-4.723100774861275,-0.21172531514095663,-115.0405286495038,-522.7207479171194
 0.09315249768907272,0.02169346956428175,0.43913490861292265,5.261129135734924,-163.6196447625024,0.0,-4.190019991881707,-0.2386623457495503,-116.67045262152085,-153.0296765866104
 0.10303830592766948,0.026542231221110026,0.49047700904185565,5.193515713614604,-164.7631195573471,0.0,-3.7290113537497867,-0.2681675932668933,-115.66831636287357,101.37120146986801
 0.112362148545294,0.03156313106428679,0.5385011361824086,5.150679726165119,-165.81749366873066,0.0,-3.329087340787346,-0.3003826267181969,-113.08364529775717,277.21092805992794
 0.1212543745418321,0.03675655836382726,0.5840413077178154,5.121346618173712,-166.7916593479477,0.0,-2.981041601685447,-0.33545321857789956,-109.55251020344353,397.103615640039
 0.12980401465049246,0.04212270554846315,0.6276459729808105,5.1001755288887285,-167.69346214487078,0.0,-2.6771627984129838,-0.37352976837747703,-105.4784511934693,476.51818768925995
 0.13807475357929372,0.047661593939956705,0.669696920574465,5.084303585888817,-168.5298319853275,0.0,-2.4109876783347444,-0.41476777711725776,-101.12395611282201,526.4940796865903
 0.14611378529373545,0.053373095632159556,0.7104713471825738,5.072056941243252,-169.3068991166523,0.0,-2.1770917187587338,-0.4593283743553757,-96.66178203139093,555.0636245674991
 0.1539570747288449,0.05925695214765784,0.7501771500564514,5.062391640953577,-170.0300957854502,0.0,-1.9709136456200202,-0.507378901263538,-92.20578620503363,568.1284444777235
 0.16163265808104366,0.06531279039585892,0.7889743320247214,5.054623236832704,-170.70424489327928,0.0,-1.7886094257114111,-0.5590935536987091,-87.83034160341491,570.0471743773471
 0.169162804855042,0.07154013636606257,0.8269886573402149,5.048284775372127,-171.33363701435474,0.0,-1.6269313344084662,-0.6146540907109572,-83.58298184156469,564.0474069531272
 0.17656548577171788,0.07793842691450678,0.8643207265668994,5.043047194238419,-171.92209715668344,0.0,-1.483128050692062,-0.674250614795787,-79.49284170861964,552.5214687737357
 0.18385539964115485,0.08450701994302193,0.9010522135321827,5.038672283808501,-172.47304256919364,0.0,-1.3548622178853482,-0.7380824314082559,-75.57639532889574,537.2417904885839
 0.19104471017700517,0.09124520321653978,0.9372502745454019,5.034983651452176,-172.98953278173633,0.0,-1.2401424231576026,-0.8063589966173714,-71.84141093463684,519.519135476759
 0.19814358634610102,0.09815220202523701,0.9729707413077668,5.031848127999462,-173.47431293573317,0.0,-1.137267035806731,-0.879300963199589,-68.28970423617679,500.319573670266
 0.205160606221605,0.10522718586304122,1.008260481419266,5.029163482163354,-173.92985133460132,0.0,-1.0447777787625774,-0.9571413369686981,-64.91906919894053,480.3513595569194
 0.2121030638780826,0.11246927426617502,1.043159175249222,5.026850080589862,-174.35837202187616,0.0,-0.9614212817696556,-1.0401267570854411,-61.72463823023643,460.12970143556754
 0.21897720605783735,0.11987754193224148,1.0777006748398024,5.024845091553322,-174.76188308472555,0.0,-0.8861171801503002,-1.1285189164602174,-58.69984243820223,440.02520066323535
 0.22578841708224465,0.12745102322126425,1.1119140578502058,5.023098372345712,-175.14220128267226,0.0,-0.8179315861265211,-1.222596140021564,-55.83708926119902,420.3001737495457
 0.23254136502929504,0.1351887161242197,1.145824455278851,5.021569497430655,-175.5009735156217,0.0,-0.7560549742046148,-1.322655142970285,-53.1282390687074,401.1359503629543
 0.23924011851815147,0.143089585771448,1.179453708868617,5.0202255756551155,-175.83969557095244,0.0,-0.6997837004848086,-1.4290129925964297,-50.56493807306453,382.6534294637055
 0.24588824090823302,0.15115256754236323,1.2128208985659639,5.019039623447355,-176.15972852558443,0.0,-0.6485045179596697,-1.5420093034142743,-48.138848212158976,364.92857961295584
 0.2524888669456455,0.15937656982873982,1.2459427696347003,5.017989336314632,-176.46231312419133,0.0,-0.6016815683172421,-1.6620086980506288,-45.84180301866372,348.00414089141935
 0.2590447656264705,0.16776047649618273,1.2788340814302899,5.017056150027389,-176.74858240807725,0.0,-0.5588454246606344,-1.7894035736398166,-43.66591032335273,331.89846293310467
 0.26555839213397875,0.1763031490819602,1.3115078944011223,5.01622451535551,-177.0195728295108,0.0,-0.5195838377188354,-1.9246172174838398,-41.60361683636689,316.6121798062329
 0.2720319310389567,0.18500342876195933,1.3439758079323358,5.0154813322040726,-177.27623405243654,0.0,-0.4835338984962328,-2.0681073304476727,-39.647745490235216,302.1332496554045
 0.2784673324574791,0.19386013811496064,1.3762481587410897,5.014815504106279,-177.5194376118251,0.0,-0.45037538512463987,-2.220370013612652,-37.7915134693216,288.4407514302039
