# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,33.51635969052815,0.0,-0.6123662851726128,-1.6330095634153368,0.0,0.0
 0.08294093508440677,0.017197996781689442,0.2073523377110169,2.5,33.51635969052815,0.0,-0.6123662851726128,-1.6330095634153368,0.0,0.0
 0.11722450543123483,0.034353961683994017,0.5004136012891042,8.54815471706556,32.91368529950673,0.0,-0.6116276596543464,-1.6349816497264649,-17.579102319988507,-512.7558810867822
 0.1434851908672669,0.05146999999554004,0.6517742407462543,5.763773372399086,32.31317393361804,0.0,-0.6106380906921127,-1.6376312176441115,-22.867314996459946,-201.37374895841543
 0.1655876598174723,0.06854818270956733,0.7726821267118479,5.470333935904927,31.714994860933217,0.0,-0.6094004184170567,-1.6409571929693487,-27.063902862275672,-189.86964195132265
 0.1850303173690929,0.08559054586426809,0.8765449429664126,5.342007180798571,31.11931445989173,0.0,-0.607917926391526,-1.6449588942635587,-30.637807586743065,-183.81770676043737
 0.20258241771484606,0.10259908991798092,0.9690318377098469,5.269277916691723,30.526296000050426,0.0,-0.6061943237614792,-1.6496360338627527,-33.78618217533074,-179.37309647101227
 0.21870142126660824,0.1195757791600861,1.0532095974536364,5.222268204946633,29.936099434670776,0.0,-0.6042337257738386,-1.6549887193392026,-36.614953491658454,-175.4929395755649
 0.233685721564947,0.13652254115832482,1.1309678570788881,5.189315355210312,29.348881205723504,0.0,-0.6020406328312451,-1.661017455412025,-39.188898864525285,-171.77614714196494
 0.247742823301217,0.15344126624314505,1.2035713621654092,5.164898600626196,28.764794061829644,0.0,-0.5996199084008933,-1.6677231459290058,-41.55103625570284,-168.03872060502977
 0.26102398895852913,0.17033380702955586,1.271917030649368,5.146059483591341,28.183986889571667,0.0,-0.5969767557173639,-1.6751070965876027,-43.73164127639689,-164.18777364571852
 0.27364354768701893,0.18720197797684457,1.3366688416138737,5.131067762165303,27.6066045584927,0.0,-0.5941166936101673,-1.6831710180090564,-45.752973103209634,-160.17452514004336
 0.28569043035173486,0.2040475549863987,1.3983349450968825,5.118843206103638,27.032787780051443,0.0,-0.5910455316377495,-1.6919170291822758,-47.6319720554685,-155.97387345377393
 0.2972354454218082,0.2208722750377518,1.4573146894338564,5.108676253689753,26.462672980709804,0.0,-0.5877693446271076,-1.7013476615294043,-49.38190170227474,-151.5744792176463
 0.30833607370066607,0.2376778358628565,1.5139287978061895,5.100081450358947,25.896392189233563,0.0,-0.5842944468178579,-1.7114658635660966,-51.013400075270354,-146.97351645428444
 0.3190397440185031,0.25446589565848,1.568439544297919,5.092715383889456,25.334072938235867,0.0,-0.5806273658565041,-1.722275005975415,-52.535180391405056,-142.17369098137732
 0.32938613986414567,0.27123807283650636,1.6210647097066226,5.086328243556126,24.77583817988901,0.0,-0.5767748166305269,-1.7337788876461726,-53.954513888231126,-137.181441537811
 0.3394088660078447,0.28799594581182775,1.6719875146799779,5.080733948354834,24.221806215671034,0.0,-0.572743675302967,-1.7459817421310244,-55.27757181775127,-132.00579468610064
 0.34913667972724,0.30474105282740344,1.7213638643377112,5.075791034041578,23.67209063996274,0.0,-0.5685409535819661,-1.7588882449007797,-56.50967335160541,-126.65759947659934
 0.35859441814728954,0.3214748918159829,1.7693277446863223,5.071390031990316,23.12680029720485,0.0,-0.5641737733888682,-1.7725035213764355,-57.6554688382925,-121.1489931100338
 0.3678037086805345,0.3381989202978888,1.8159953170695582,5.067444904118163,22.58603925231305,0.0,-0.5596493419636115,-1.7868331560819029,-58.71907753802344,-115.49301174627806
 0.3767835215686468,0.3549145553141773,1.8614680756229498,5.063887089851246,22.049906773956774,0.0,-0.5549749277916377,-1.8018832021461058,-59.70419261920542,-109.70329710166898
 0.3855506054433984,0.3716231733944277,1.9058353175301126,5.0606612804214555,21.51849733029276,0.0,-0.5501578370863744,-1.8176601923840279,-60.61416216108314,-103.79386747950973
 0.39411983485144353,0.3883261105583228,1.9491761007371047,5.0577223625618135,20.991900596660507,0.0,-0.5452053912618693,-1.8341711509593033,-61.452052285806346,-97.77893493393607
 0.4025044905837146,0.405024662350139,1.9915608135878948,5.055033170611727,20.470201474761733,0.0,-0.5401249052701558,-1.8514236063597684,-62.2206967771905,-91.67275508113751
 0.4107164880572451,0.4217200839051929,2.0330524466024054,5.052562808043905,19.953480122753128,0.0,-0.5349236669596853,-1.8694256054955318,-62.92273635910656,-85.48950291070159
 0.4187665650680563,0.43841359004724667,2.073707632813258,5.050285376929044,19.441811995710754,0.0,-0.5296089174795627,-1.8881857291207513,-63.56064996088876,-79.24316760268151
 0.4266644374286803,0.45510635541583067,2.113577506241835,5.048179004177635,18.935267895864857,0.0,-0.5241878328846546,-1.9077131082896497,-64.13677971947841,-72.9474638590055
 0.43441892897174883,0.4717995146224034,2.152708416001072,5.046225086700211,18.433914031993357,0.0,-0.5186675067456508,-1.9280174427629795,-64.65335104010077,-66.61575652682181
 0.4420380809089749,0.4884941624342236,2.191142524701813,5.044407700148029,17.937812087386153,0.0,-0.5130549340551854,-1.949109020540942,-65.11248872506721,-60.260996072693956
 0.4495292444256828,0.5051913539848132,2.2289183133366373,5.042713131354187,17.447019295707747,0.0,-0.5073569962937609,-1.9709987391619566,-65.51622996664828,-53.895665296931654
